,Номер машины,Название машины,Тип машины,Коробка передач,Привод,Мощность двигателя (в л.с.),Объём двигателя (в литрах),Тип топлива,Цвет
58,Е382МО_64,Hyundai i30 N,хэтчбек,механика,передний,249,2.0,Бензин,чёрный
59,А945ОО_21,Tesla Model S 60 I,лифтбек,Заряд на 338 км,задний,222,302,Электро,чёрный
60,Т804АО_27,Lamborghini Huracán,родстер,робот,полный,610,5.2,Бензин,пурпурный
61,У165АО_23,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
62,В911АН_47,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,Дизель,чёрный
63,Х855КТ_20,Haval H9 I Рестайлинг,внедорожник,автомат,полный,190,2.0,Дизель,чёрный
64,Е960ВТ_00,Mazda CX-5 I,внедорожник,автомат,передний,150,2.0,Бензин,пурпурный
65,Х565ХН_35,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
66,С916УУ_90,Chevrolet Cobalt II Рестайлинг,седан,автомат,передний,106,1.5,Бензин,серый
67,А299АО_74,Hyundai Sonata VIII (DN8),седан,автомат,передний,180,2.5,Бензин,серый
68,В482ХЕ_64,Kia Soul II,хэтчбек,автомат,передний,124,1.6,Бензин,чёрный
69,М618МС_96,Nissan X-Trail III Рестайлинг,внедорожник,вариатор,передний,144,2.0,Бензин,серый
70,В002АН_95,Kia K5 III,седан,автомат,передний,194,2.5,Бензин,синий
71,Т979ХЕ_59,Chrysler Town & Country V,минивэн,автомат,передний,197,3.8,Бензин,чёрный
72,В165УУ_27,Peugeot Expert III,фургон,механика,передний,90,1.6,Дизель,белый
73,А613ОО_42,Volkswagen Polo VI,лифтбек,робот,передний,125,1.4,Бензин,синий
74,Т728РУ_98,Toyota Camry VIII (XV70),седан,автомат,передний,181,2.5,Бензин,чёрный
75,Н435УТ_90,Honda Accord IX,седан,автомат,передний,180,2.4,Бензин,белый
76,А016АМ_47,Chevrolet Aveo I Рестайлинг,седан,механика,передний,101,1.4,Бензин,чёрный
77,О768ХУ_94,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
78,В466ММ_00,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
79,Е581ОО_40,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
80,Е828ХН_53,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
81,Х671СН_13,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
82,Т119МУ_96,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
83,О164НК_58,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,пурпурный
84,В933АР_74,Lamborghini Huracán,родстер,робот,полный,610,5.2,Бензин,синий
85,Р455ЕН_52,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
86,Т108МТ_85,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
87,Т160ТУ_82,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,пурпурный
88,Н803НА_03,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
89,К120СО_96,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
90,К320ТР_59,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,белый
91,Е378СС_45,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
92,Х184ОВ_88,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
93,В952НЕ_57,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
94,О444ВК_79,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
95,В602СУ_39,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
96,А524ЕС_42,Hyundai i30 N,хэтчбек,механика,передний,249,2.0,Бензин,серый
97,В985ОК_04,Haval H9 I Рестайлинг,внедорожник,автомат,полный,190,2.0,Дизель,чёрный
98,А201ЕМ_63,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
99,М806НУ_76,Tesla Model S 60 I,лифтбек,Заряд на 338 км,задний,222,302,Электро,серый
100,Р301ТР_67,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,Дизель,чёрный
101,У134КТ_07,Mazda CX-5 I,внедорожник,автомат,передний,150,2.0,Бензин,синий
102,Р249УО_55,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
103,О873ОХ_86,Volkswagen Polo VI,лифтбек,робот,передний,125,1.4,Бензин,синий
104,В251НХ_59,Chevrolet Cobalt II Рестайлинг,седан,автомат,передний,106,1.5,Бензин,серый
105,С268СМ_09,Kia Soul II,хэтчбек,автомат,передний,124,1.6,Бензин,чёрный
106,Р262СЕ_11,Hyundai Sonata VIII (DN8),седан,автомат,передний,180,2.5,Бензин,серый
107,М230АН_75,Kia K5 III,седан,автомат,передний,194,2.5,Бензин,пурпурный
108,М065АО_25,Nissan X-Trail III Рестайлинг,внедорожник,вариатор,передний,144,2.0,Бензин,серый
109,А249АР_02,Chrysler Town & Country V,минивэн,автомат,передний,197,3.8,Бензин,белый
110,С010ТН_56,Land Rover Discovery Sport I Рестайлинг,внедорожник,автомат,полный,180,2.0,Дизель,чёрный
111,К925ВР_36,Toyota Camry VIII (XV70),седан,автомат,передний,181,2.5,Бензин,чёрный
112,О585ОО_42,Honda Accord IX,седан,автомат,передний,180,2.4,Бензин,белый
113,В242КХ_39,Chevrolet Aveo I Рестайлинг,седан,механика,передний,101,1.4,Бензин,чёрный
114,О171КХ_04,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
115,Н826НТ_58,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
116,А190РМ_64,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
117,У304ТО_57,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
118,Х183ХА_12,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
119,С519УК_82,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
120,О435ХУ_75,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,белый
121,К913АМ_85,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
122,Т476ТС_51,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
123,Т487ЕС_38,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,чёрный
124,Е247АМ_39,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
125,М961МХ_78,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
126,С673ЕА_66,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,синий
127,У173УЕ_49,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
128,Р781ОР_04,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
129,С089УР_33,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
130,Р748МЕ_26,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
131,Т310КТ_97,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
132,Н105УВ_11,Hyundai i30 N,хэтчбек,механика,передний,249,2.0,Бензин,белый
133,В074ЕР_78,Tesla Model S 60 I,лифтбек,Заряд на 338 км,задний,222,302,Электро,чёрный
134,В249УХ_29,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
135,Н956ХХ_38,BMW X5 M III (F95),внедорожник,автомат,полный,600,4.4,Бензин,чёрный
136,Е243ВА_12,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,Дизель,чёрный
137,Р329ХУ_07,Haval H9 I Рестайлинг,внедорожник,автомат,полный,190,2.0,Дизель,чёрный
138,М146РХ_53,Mazda CX-5 I,внедорожник,автомат,передний,150,2.0,Бензин,чёрный
139,М657ВТ_17,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
140,С399ЕУ_86,Hyundai Sonata VIII (DN8),седан,автомат,передний,180,2.5,Бензин,серый
141,Т972УН_90,Kia Soul II,хэтчбек,автомат,передний,124,1.6,Бензин,чёрный
142,Е877ТТ_10,Nissan X-Trail III Рестайлинг,внедорожник,вариатор,передний,144,2.0,Бензин,серый
143,С203ЕЕ_55,Chrysler Town & Country V,минивэн,автомат,передний,197,3.8,Бензин,пурпурный
144,Е418УЕ_71,Kia K5 III,седан,автомат,передний,194,2.5,Бензин,синий
145,У611ВУ_59,Volkswagen Polo VI,лифтбек,робот,передний,125,1.4,Бензин,синий
146,К746СХ_38,Chevrolet Cobalt II Рестайлинг,седан,автомат,передний,106,1.5,Бензин,серый
147,Т950ХХ_09,Land Rover Discovery Sport I Рестайлинг,внедорожник,автомат,полный,180,2.0,Дизель,чёрный
148,У350МА_16,Toyota Camry VIII (XV70),седан,автомат,передний,181,2.5,Бензин,чёрный
149,М431ОЕ_46,Honda Accord IX,седан,автомат,передний,180,2.4,Бензин,белый
150,Н977ОР_95,Chevrolet Aveo I Рестайлинг,седан,механика,передний,101,1.4,Бензин,чёрный
151,О228ТМ_74,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
152,Т216КС_75,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
153,Р184ЕМ_14,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
154,К108ХХ_01,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
155,Р349КК_56,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
156,К602ТС_08,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
157,К938УН_78,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,белый
158,А090ЕХ_40,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
159,Т684УТ_28,BMW X5 M50i IV (G05),внедорожник,автомат,полный,530,4.4,Бензин,чёрный
160,К070ВР_31,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
161,М076НУ_12,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,пурпурный
162,С736УТ_31,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
163,В916АК_73,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
164,М158ОУ_67,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,синий
165,К578КМ_12,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
166,М181ЕН_77,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
167,М647ОМ_44,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
168,Е361АЕ_45,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
169,О051УН_90,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
170,К738ТР_24,Hyundai i30 N,хэтчбек,механика,передний,249,2.0,Бензин,белый
171,Х740УА_70,Tesla Model S 60 I,лифтбек,Заряд на 338 км,задний,222,302,Электро,синий
172,Х404ЕН_69,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
173,М485СТ_79,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,Дизель,чёрный
174,К257ЕК_03,Haval H9 I Рестайлинг,внедорожник,автомат,полный,190,2.0,Дизель,чёрный
175,У870ХС_27,Mazda CX-5 I,внедорожник,автомат,передний,150,2.0,Бензин,серый
176,О863МУ_81,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
177,А431ВК_07,Hyundai Sonata VIII (DN8),седан,автомат,передний,180,2.5,Бензин,серый
178,А549КУ_26,Kia Soul II,хэтчбек,автомат,передний,124,1.6,Бензин,чёрный
179,Р060ОР_86,Nissan X-Trail III Рестайлинг,внедорожник,вариатор,передний,144,2.0,Бензин,серый
180,Х155ЕН_05,Chrysler Town & Country V,минивэн,автомат,передний,197,3.8,Бензин,белый
181,У591ЕН_00,Kia K5 III,седан,автомат,передний,194,2.5,Бензин,серый
182,Х647ВТ_79,Peugeot Expert III,фургон,механика,передний,90,1.6,Дизель,белый
183,Т718МА_83,Volkswagen Polo VI,лифтбек,робот,передний,125,1.4,Бензин,синий
184,О325НО_67,Chevrolet Cobalt II Рестайлинг,седан,автомат,передний,106,1.5,Бензин,серый
185,А373НН_41,Toyota Camry VIII (XV70),седан,автомат,передний,181,2.5,Бензин,чёрный
186,Х641ХО_33,Honda Accord IX,седан,автомат,передний,180,2.4,Бензин,белый
187,К121МУ_68,Chevrolet Aveo I Рестайлинг,седан,механика,передний,101,1.4,Бензин,чёрный
188,К493ВС_51,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
189,У870КО_97,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
190,Т997ЕМ_36,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
191,Т225МВ_76,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
192,К237ВН_22,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
193,Е676ХО_93,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
194,Т821ТК_69,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,серый
195,Р678КО_60,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
196,Т289ТС_00,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
197,Р770ВС_98,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,пурпурный
198,Н282ОУ_23,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
199,С538ВО_61,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,серый
200,Н839МА_54,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
201,О897ТА_94,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
202,С048КТ_59,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
203,Р780ОЕ_03,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
204,М660МС_78,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
205,О494ОА_73,BMW X5 M50i IV (G05),внедорожник,автомат,полный,530,4.4,Бензин,чёрный
206,М048НВ_76,Hyundai i30 N,хэтчбек,механика,передний,249,2.0,Бензин,пурпурный
207,В238ТО_71,Haval H9 I Рестайлинг,внедорожник,автомат,полный,190,2.0,Дизель,чёрный
208,Т218СЕ_09,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,Дизель,чёрный
209,Х585РА_43,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
210,Н309ОВ_71,Tesla Model S 60 I,лифтбек,Заряд на 338 км,задний,222,302,Электро,белый
211,К960ВУ_05,Mazda CX-5 I,внедорожник,автомат,передний,150,2.0,Бензин,белый
212,М596УЕ_05,Kia Soul II,хэтчбек,автомат,передний,124,1.6,Бензин,чёрный
213,Е817КО_11,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
214,Т616ОМ_13,Volkswagen Polo VI,лифтбек,робот,передний,125,1.4,Бензин,синий
215,О259УТ_71,Hyundai Sonata VIII (DN8),седан,автомат,передний,180,2.5,Бензин,серый
216,Е594АН_05,Chevrolet Cobalt II Рестайлинг,седан,автомат,передний,106,1.5,Бензин,серый
217,Т465УТ_66,Chrysler Town & Country V,минивэн,автомат,передний,197,3.8,Бензин,пурпурный
218,У758ТА_28,Kia K5 III,седан,автомат,передний,194,2.5,Бензин,пурпурный
219,О381ХР_25,Mazda CX-5 II,внедорожник,автомат,передний,150,2.0,Бензин,чёрный
220,Т606МТ_74,"Mercedes-Benz CLA 200 I (C117, X117) Рестайлинг",седан,робот,передний,150,1.6,Бензин,синий
221,Р627КА_59,Hyundai Santa Fe IV,внедорожник,автомат,полный,200,2.2,Дизель,чёрный
222,М651КЕ_61,Toyota Camry VIII (XV70),седан,автомат,передний,181,2.5,Бензин,чёрный
223,М983ХХ_96,Honda Accord IX,седан,автомат,передний,180,2.4,Бензин,белый
224,К506СК_27,Chevrolet Aveo I Рестайлинг,седан,механика,передний,101,1.4,Бензин,чёрный
225,М088ОК_50,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
226,Е562ВА_61,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
227,Е630ЕА_04,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
228,Т811ВА_21,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
229,С926РН_43,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
230,О245ХМ_88,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
231,Н996КР_67,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,синий
232,К918ХМ_73,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
233,Х109ТЕ_33,BMW X5 M III (F95),внедорожник,автомат,полный,600,4.4,Бензин,чёрный
234,У926ОТ_46,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
235,К412НА_55,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,белый
236,В402СН_71,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
237,У953МВ_32,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
238,У320РХ_67,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,серый
239,К182СН_03,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
240,Р630НЕ_13,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
241,Р058АУ_36,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
242,У513ОН_40,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
243,М016СА_71,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
244,С293СО_49,Hyundai i30 N,хэтчбек,механика,передний,249,2.0,Бензин,чёрный
245,М352НО_17,Tesla Model S 60 I,лифтбек,Заряд на 338 км,задний,222,302,Электро,серый
246,С122ХЕ_31,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
247,А948РЕ_62,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,Дизель,чёрный
248,О919НХ_99,Haval H9 I Рестайлинг,внедорожник,автомат,полный,190,2.0,Дизель,чёрный
249,Р709ОЕ_51,Mazda CX-5 I,внедорожник,автомат,передний,150,2.0,Бензин,белый
250,О861ОЕ_22,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
251,Е948ХР_69,Volkswagen Polo V,седан,механика,передний,105,1.6,Бензин,чёрный
252,У801АТ_33,Hyundai Sonata VIII (DN8),седан,автомат,передний,180,2.5,Бензин,серый
253,А314ТА_27,Nissan X-Trail III Рестайлинг,внедорожник,вариатор,передний,144,2.0,Бензин,серый
254,М175СА_60,Kia Soul II,хэтчбек,автомат,передний,124,1.6,Бензин,чёрный
255,А655РТ_55,Kia K5 III,седан,автомат,передний,194,2.5,Бензин,пурпурный
256,Е976ЕВ_53,Chrysler Town & Country V,минивэн,автомат,передний,197,3.8,Бензин,белый
257,Т834РТ_22,Chevrolet Cobalt II Рестайлинг,седан,автомат,передний,106,1.5,Бензин,серый
258,У822ХТ_58,Volkswagen Polo VI,лифтбек,робот,передний,125,1.4,Бензин,синий
259,У158ЕХ_44,Toyota Camry VIII (XV70),седан,автомат,передний,181,2.5,Бензин,чёрный
260,Н913ХУ_80,Honda Accord IX,седан,автомат,передний,180,2.4,Бензин,белый
261,Т420УХ_42,Chevrolet Aveo I Рестайлинг,седан,механика,передний,101,1.4,Бензин,чёрный
262,Н283МН_78,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
263,Х836ТУ_77,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
264,Р574ХН_64,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
265,Т669СС_92,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
266,О590АХ_77,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
267,М290НВ_59,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
268,С773СС_30,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,чёрный
269,Н536ТК_99,BMW X5 M III (F95),внедорожник,автомат,полный,600,4.4,Бензин,чёрный
270,В709РО_44,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
271,С724УО_35,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
272,Т167АР_60,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,серый
