car_id,car_number,car_model,car_type,transmission,drive_unit,engine_capacity,engine_volume,fuel_type,car_color,price
22,Е812РР_05,Volvo XC90 I Рестайлинг,внедорожник,автомат,полный,238,3.2,бензин,чёрный,474000
23,А549КК_01,Hyundai Creta II,внедорожник,механика,передний,123,1.6,бензин,синий,519000
24,Н029ЕХ_18,Subaru Forester III,внедорожник,автомат,полный,173,2.5,бензин,белый,19000000
25,Р295ХЕ_22,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,серый,920000
26,У637ОЕ_38,Nissan Juke I,внедорожник,вариатор,передний,117,1.6,бензин,белый,1479500
27,Н168ВВ_06,Suzuki Grand Vitara III,внедорожник,механика,полный,140,2.0,бензин,белый,1060000
28,А195ХР_01,Volkswagen Polo V,хэтчбек,робот,передний,85,1.4,бензин,чёрный,1111250
29,Х256МТ_08,Hyundai Creta II,внедорожник,механика,полный,121,1.6,бензин,белый,1411250
30,М598РО_24,Audi A4 I (B5),универсал,механика,передний,150,1.8,бензин,чёрный,847000
31,У254ЕУ_53,Kia Optima IV,седан,автомат,передний,188,2.4,бензин,белый,649000
32,Н101МО_00,Mercedes-Benz G-Класс AMG 65 AMG I (W463) Рестайлинг 2,внедорожник,автомат,полный,612,6.0,бензин,чёрный,910000
33,Н532ТС_17,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,серый,1135000
34,Р443ОА_07,Volkswagen Jetta V,седан,автомат,передний,102,1.6,бензин,серый,1435000
35,Х759НВ_79,Peugeot 207 I,хэтчбек,автомат,передний,120,1.6,бензин,синий,345000
36,К827СТ_96,Hyundai Getz I,хэтчбек,автомат,передний,82,1.3,бензин,белый,1375000
37,А636АС_72,Volkswagen Golf GTI VII Рестайлинг,хэтчбек,робот,передний,245,2.0,бензин,серый,6790000
38,А954АЕ_96,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,белый,1059000
39,О041СЕ_58,SsangYong Rexton II,внедорожник,автомат,полный,186,2.7,дизель,чёрный,845000
40,О366ЕХ_88,BMW M3 IV (E90),купе,робот,задний,420,4.0,бензин,чёрный,2999000
41,Р297НА_28,Jeep Grand Cherokee IV (WK2),внедорожник,автомат,полный,286,3.6,бензин,синий,1440000
42,К906РМ_45,Mercedes-Benz CLK-Класс 230 I (W208),купе,автомат,задний,193,2.3,бензин,синий,300000
43,Е118ТС_64,Ford Focus II,седан,механика,передний,145,2.0,бензин,синий,299000
44,О088НТ_14,Hyundai Creta II,внедорожник,механика,полный,121,1.6,бензин,серый,1060000
45,Е096ВУ_27,Nissan Murano I (Z50),внедорожник,вариатор,полный,234,3.5,бензин,пурпурный,1360000
46,К026СУ_05,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,синий,474000
47,Х357ОА_61,Nissan Teana II Рестайлинг,седан,вариатор,полный,167,2.5,бензин,чёрный,974000
48,Р726УМ_76,Mercedes-Benz 190 (W201),седан,механика,задний,105,2.0,бензин,белый,1274000
49,В219ТО_42,Москвич 400 400-420,седан,механика,задний,23,1.1,бензин,синий,870000
50,В360КН_50,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,синий,88000
51,К591ЕС_89,Subaru Impreza WRX II,универсал,механика,полный,225,2.0,бензин,синий,3000000
52,Н117АК_43,Volkswagen Jetta V,седан,автомат,передний,102,1.6,бензин,серый,1085000
53,А424ТХ_01,Audi A4 I (B5),универсал,механика,передний,150,1.8,бензин,чёрный,1385000
54,О400НТ_78,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,синий,520000
55,А294МВ_24,Rolls-Royce Phantom VII Рестайлинг (Series II),купе,автомат,задний,460,6.8,бензин,чёрный,373800
56,У931КВ_75,LADA (ВАЗ) 2121 (4x4) I Рестайлинг,внедорожник,механика,полный,83,1.7,бензин,белый,345000
57,В961ОТ_81,ЗАЗ 965,седан,механика,задний,27,0.9,бензин,чёрный,1430324
58,Р536ХТ_21,Peugeot 207 I,хэтчбек,автомат,передний,120,1.6,бензин,синий,1730324
59,Х382СХ_61,Volkswagen Polo V Рестайлинг,седан,механика,передний,90,1.6,бензин,серый,345000
60,А049ТВ_49,SsangYong Rexton I,внедорожник,автомат,полный,163,2.7,дизель,чёрный,70000
61,Е864СР_70,Hyundai Creta II,внедорожник,механика,передний,123,1.6,бензин,чёрный,272000
62,С114УР_15,Suzuki Grand Vitara III,внедорожник,механика,полный,140,2.0,бензин,белый,535000
63,У012ТМ_57,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,пурпурный,482900
64,Н514МА_83,Volvo XC90 I Рестайлинг,внедорожник,автомат,полный,238,3.2,бензин,чёрный,1479500
65,О467ЕТ_28,Skoda Yeti I,внедорожник,робот,передний,105,1.2,бензин,белый,649000
66,С439ММ_30,LADA (ВАЗ) 2121 (4x4) Рысь I Рестайлинг,внедорожник,механика,полный,83,1.7,бензин,синий,1111250
67,Н138РС_82,Hyundai Creta II,внедорожник,механика,полный,121,1.6,бензин,чёрный,1411250
68,Е343ВЕ_34,Tesla Model S 60 I,внедорожник,автомат,полный,165,2.5,бензин,чёрный,920000
69,О408КВ_58,Nissan X-Trail I Рестайлинг,седан,автомат,передний,140,1.8,бензин,белый,649000
70,Н445КВ_68,Opel Astra H Рестайлинг,внедорожник,автомат,передний,123,1.6,бензин,синий,519000
71,Х623РВ_02,Hyundai Creta II,хэтчбек,механика,передний,125,1.8,бензин,белый,1135000
72,Т514КР_85,Ford Focus II Рестайлинг,внедорожник,автомат,полный,173,2.5,бензин,белый,1435000
73,К124ВК_04,Subaru Forester III,внедорожник,автомат,полный,435,4.7,бензин,белый,2755000
74,К306РХ_18,Mercedes-Benz GL-Класс 500 II (X166),седан,автомат,передний,107,1.6,бензин,серый,695000
75,Е977КЕ_98,Renault Megane I Рестайлинг,внедорожник,автомат,передний,123,1.6,бензин,белый,495000
76,О240ТУ_30,SsangYong Rexton II,внедорожник,автомат,полный,186,2.7,дизель,чёрный,845000
77,Е821МС_66,BMW M3 IV (E90),купе,робот,задний,420,4.0,бензин,чёрный,2999000
78,О562ВТ_31,Jeep Grand Cherokee IV (WK2),внедорожник,автомат,полный,286,3.6,бензин,серый,1440000
79,В797ОА_83,ЗАЗ 965,седан,механика,задний,27,0.9,бензин,синий,70000
80,А292ВХ_76,Mercedes-Benz S-Класс 500 V (W221) Рестайлинг,седан,автомат,полный,435,4.7,бензин,серый,1535000
81,У218ХМ_30,Hyundai Creta II,внедорожник,механика,полный,121,1.6,бензин,серый,1060000
82,У603МК_47,Kia Sorento III Prime Рестайлинг,внедорожник,автомат,полный,188,2.4,бензин,синий,1360000
83,А934ОК_29,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,пурпурный,2345000
84,Н210АР_44,Tesla Model S 60 I,внедорожник,вариатор,полный,144,2.0,бензин,чёрный,974000
85,У044ЕМ_86,Nissan X-Trail III,внедорожник,механика,полный,83,1.7,бензин,синий,1274000
86,Х971УО_17,LADA (ВАЗ) 2121 (4x4) Рысь I Рестайлинг,внедорожник,автомат,передний,123,1.6,бензин,пурпурный,2755000
87,Х437РА_81,Hyundai Creta II,седан,механика,задний,105,2.0,бензин,синий,1470000
88,О414УХ_52,Mercedes-Benz 190 (W201),универсал,механика,полный,225,2.0,бензин,синий,519000
89,К546СН_37,Subaru Impreza WRX II,седан,автомат,передний,130,2.0,бензин,синий,1085000
90,О269ВО_35,Ford Focus I Рестайлинг,внедорожник,автомат,передний,123,1.6,бензин,пурпурный,1385000
91,В488ВТ_54,Hyundai Creta II,седан,вариатор,полный,167,2.5,бензин,чёрный,88000
92,М544ОУ_64,Nissan Teana II Рестайлинг,минивэн,автомат,задний,190,2.1,дизель,чёрный,520000
93,Т641АС_11,Mercedes-Benz V-Класс L 250 d длинный II,седан,механика,передний,145,2.0,бензин,синий,345000
94,А936ОМ_91,Ford Focus II,внедорожник,автомат,полный,333,3.0,бензин,чёрный,1430324
95,К363СВ_76,Mercedes-Benz GLS 400 I (X166),седан,робот,передний,180,1.8,бензин,чёрный,1730324
96,У930РН_93,Volkswagen Passat B8,внедорожник,механика,передний,123,1.6,бензин,пурпурный,870000
97,Е658ЕР_39,Hyundai Creta II,внедорожник,автомат,полный,422,4.0,бензин,чёрный,3519000
98,Р291РС_68,Mercedes-Benz G-Класс 500 III (W463),минивэн,автомат,полный,190,2.1,дизель,чёрный,299000
99,М920НЕ_54,Mercedes-Benz V-Класс XL 250 d экстра длинный II,внедорожник,автомат,передний,123,1.6,бензин,белый,4726000
100,В464ОВ_15,Hyundai Creta II,седан,автомат,задний,136,1.5,бензин,белый,1585000
101,У017КЕ_51,BMW 3 серии 318i VI (F3x) Рестайлинг,внедорожник,автомат,передний,149,2.0,дизель,чёрный,1479500
102,М832АН_61,SsangYong Actyon II,минивэн,механика,задний,116,2.5,дизель,чёрный,12498000
103,О237ОТ_23,Hyundai H-1 II Рестайлинг,внедорожник,механика,полный,121,1.6,бензин,серый,1111250
104,С316МА_71,Hyundai Creta II,внедорожник,вариатор,полный,144,2.0,бензин,серый,1411250
105,С940ТС_36,Nissan X-Trail III,внедорожник,автомат,полный,175,2.4,бензин,чёрный,1639000
106,В927ОТ_42,Kia Sorento II,пикап,автомат,полный,712,6.2,бензин,белый,890000
107,А262УА_22,RAM 1500 Crew Cab TRX V,внедорожник,автомат,передний,123,1.6,бензин,серый,1499000
108,К153ЕК_62,Hyundai Creta II,внедорожник,автомат,полный,249,3.0,дизель,белый,1135000
109,А926ВТ_78,BMW X3 30d xDrive III (G01),купе,автомат,задний,193,2.3,бензин,чёрный,1435000
110,О604ЕУ_62,Mercedes-Benz CLK-Класс 230 I (W208),седан,механика,передний,90,1.6,бензин,пурпурный,1799000
111,С995ЕХ_78,Volkswagen Polo V Рестайлинг,лифтбек,автомат,передний,105,1.6,бензин,синий,1195000
112,Н900ХР_53,Skoda Rapid I,внедорожник,автомат,передний,123,1.6,бензин,серый,11089321
113,Е848ОК_56,SsangYong Rexton II,внедорожник,автомат,полный,186,2.7,дизель,чёрный,845000
114,А299МС_01,BMW M3 IV (E90),купе,робот,задний,420,4.0,бензин,чёрный,2999000
115,Х499СУ_38,Jeep Grand Cherokee IV (WK2),внедорожник,автомат,полный,286,3.6,бензин,чёрный,1440000
116,О390РА_67,Nissan Teana II Рестайлинг,седан,вариатор,полный,167,2.5,бензин,чёрный,870000
117,А627ЕТ_76,Москвич 400 400-420,седан,механика,задний,23,1.1,бензин,синий,3000000
118,У742КС_82,Hyundai Creta II,внедорожник,механика,полный,121,1.6,бензин,синий,1060000
119,С441УХ_70,Rolls-Royce Wraith,купе,автомат,задний,632,6.6,бензин,серый,1360000
120,В878ВУ_19,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,белый,19000000
121,Е827АС_47,Lexus RX 350 IV,внедорожник,автомат,полный,300,3.5,бензин,чёрный,974000
122,Х346ОС_23,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,дизель,чёрный,1274000
123,Р329ХО_84,BMW X7 30d I (G07),внедорожник,автомат,полный,249,3.0,дизель,чёрный,5100000
124,С273ХУ_83,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,белый,12498000
125,Х539ЕУ_63,Ford Focus II,седан,механика,передний,145,2.0,бензин,синий,7200000
126,Р832НУ_01,Volkswagen Golf GTI VII Рестайлинг,хэтчбек,робот,передний,245,2.0,бензин,серый,1085000
127,Х619ОВ_97,Mercedes-Benz GLS AMG 63 AMG I (X166),внедорожник,автомат,полный,585,5.5,бензин,белый,1385000
128,К564ВЕ_24,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,синий,299000
129,С883НУ_89,BMW 7 серии Long 740Ld xDrive VI (G11/G12),седан,автомат,полный,320,3.0,дизель,чёрный,2550000
130,Т161АК_34,"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",седан,автомат,задний,197,2.0,бензин,чёрный,6599000
131,Н390РЕ_74,Land Rover Range Rover IV Рестайлинг,внедорожник,автомат,полный,339,4.4,дизель,синий,1430324
132,Т873КУ_81,BMW 2 серии Gran Coupe M235i xDrive F44,седан,автомат,полный,306,2.0,бензин,синий,1730324
133,В763АЕ_39,Audi Q5 II (FY),внедорожник,робот,полный,249,2.0,бензин,синий,4435000
134,Р194УН_52,Hyundai Creta II,внедорожник,механика,передний,123,1.6,бензин,белый,3169000
135,М757МС_76,Mercedes-Benz G-Класс AMG 63 AMG II (W463),внедорожник,автомат,полный,585,4.0,бензин,чёрный,7380000
136,Т767НТ_83,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,синий,3840000
137,Х259ЕН_16,BMW X6 M50i III (G06),внедорожник,автомат,полный,530,4.4,бензин,серый,3109000
138,Н310ТР_91,Mercedes-Benz CLK-Класс 230 I (W208),купе,автомат,задний,193,2.3,бензин,серый,1479500
139,К852ТВ_54,Tesla Model S 60 I,седан,автомат,полный,320,3.0,дизель,чёрный,16800000
140,У215ОТ_78,BMW 8 серии Gran Coupe 840d xDrive II (G14/G15/G16),внедорожник,механика,полный,121,1.6,бензин,белый,1111250
141,Х625ХХ_87,Hyundai Creta II,купе,автомат,задний,717,6.2,бензин,чёрный,1411250
142,А298ХС_43,Dodge Challenger SRT Hellcat III Рестайлинг 2,седан,робот,полный,249,2.0,бензин,чёрный,300000
143,А193РР_25,Audi A4 V (B9),седан,автомат,задний,197,2.0,бензин,чёрный,2755000
144,А702ВН_67,"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",внедорожник,автомат,передний,123,1.6,бензин,серый,7293000
145,А841ОР_21,Hyundai Creta II,седан,автомат,полный,455,4.7,бензин,синий,1135000
146,Н607НО_46,Mercedes-Benz Maybach S-Класс 500 I (X222),внедорожник,вариатор,полный,283,3.5,бензин,чёрный,1435000
147,Р633МК_43,Infiniti QX60 I Рестайлинг,минивэн,автомат,полный,163,2.1,дизель,чёрный,6270000
148,Т425РХ_61,Mercedes-Benz V-Класс XL 220 d экстра длинный II,купе,автомат,полный,197,2.0,бензин,белый,2339000
149,В236РУ_36,"Mercedes-Benz E-Класс 200 V (W213, S213, C238) Рестайлинг",внедорожник,автомат,передний,123,1.6,бензин,белый,3049000
150,С292НВ_02,SsangYong Rexton II,внедорожник,автомат,полный,186,2.7,дизель,чёрный,845000
151,О720ВА_85,BMW M3 IV (E90),купе,робот,задний,420,4.0,бензин,чёрный,2999000
152,Х068ТВ_47,Jeep Grand Cherokee IV (WK2),внедорожник,автомат,полный,286,3.6,бензин,белый,1440000
153,М662ОМ_51,Mercedes-Benz CLK-Класс 230 I (W208),купе,автомат,задний,193,2.3,бензин,серый,300000
154,У076НР_86,Nissan Teana II Рестайлинг,седан,вариатор,полный,167,2.5,бензин,чёрный,870000
155,Х054ОТ_10,Hyundai Creta II,внедорожник,механика,полный,121,1.6,бензин,чёрный,1060000
156,Т478ОТ_62,Москвич 400 400-420,седан,механика,задний,23,1.1,бензин,синий,1360000
157,У133СН_38,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,синий,3000000
158,Е348МХ_57,Ford Focus II,седан,механика,передний,145,2.0,бензин,синий,974000
159,Е132ОК_51,ЗАЗ 965,седан,механика,задний,27,0.9,бензин,пурпурный,1274000
160,В896ТК_70,Mercedes-Benz 190 (W201),седан,механика,задний,105,2.0,бензин,синий,299000
161,К296ВС_09,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,чёрный,70000
162,Р872ХТ_55,Subaru Impreza WRX II,универсал,механика,полный,225,2.0,бензин,синий,88000
163,О587ТМ_44,Audi Q5 II (FY),внедорожник,робот,полный,249,2.0,бензин,синий,1085000
164,Н562ОТ_42,Hyundai Solaris I,седан,механика,передний,123,1.6,бензин,чёрный,1385000
165,У904ТХ_99,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,пурпурный,520000
166,Р125УО_55,Nissan Murano I (Z50),внедорожник,вариатор,полный,234,3.5,бензин,белый,3109000
167,К482МВ_64,LADA (ВАЗ) 2121 (4x4) Рысь I Рестайлинг,внедорожник,механика,полный,83,1.7,бензин,синий,579000
168,А314ХТ_79,Rolls-Royce Wraith,купе,автомат,задний,632,6.6,бензин,серый,1430324
169,В903РК_56,Volvo XC90 I Рестайлинг,внедорожник,автомат,полный,238,3.2,бензин,чёрный,1730324
170,К466ОС_30,Subaru Forester III,внедорожник,автомат,полный,173,2.5,бензин,белый,474000
171,М361КР_19,BMW X6 M50i III (G06),внедорожник,автомат,полный,530,4.4,бензин,серый,519000
172,У570ХР_70,Hyundai Creta II,внедорожник,механика,передний,123,1.6,бензин,пурпурный,19000000
173,Р197КЕ_08,Volkswagen Polo V Рестайлинг,седан,механика,передний,90,1.6,бензин,серый,920000
174,М037СХ_17,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,серый,1060000
175,В278УВ_21,Suzuki Grand Vitara III,внедорожник,механика,полный,140,2.0,бензин,синий,1479500
176,Х783УН_65,Volkswagen Polo V,хэтчбек,робот,передний,85,1.4,бензин,белый,535000
177,О264НН_41,Audi A4 I (B5),универсал,механика,передний,150,1.8,бензин,чёрный,1111250
178,У253АА_03,Hyundai Creta II,внедорожник,механика,полный,121,1.6,бензин,пурпурный,1411250
179,Е442ЕК_25,Kia Optima IV,седан,автомат,передний,188,2.4,бензин,белый,649000
180,Х857ХТ_74,Mercedes-Benz G-Класс AMG 65 AMG I (W463) Рестайлинг 2,внедорожник,автомат,полный,612,6.0,бензин,чёрный,910000
181,С208АВ_85,Volkswagen Jetta V,седан,автомат,передний,102,1.6,бензин,серый,345000
182,Т482ММ_79,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,серый,1135000
183,К893УМ_21,Peugeot 207 I,хэтчбек,автомат,передний,120,1.6,бензин,синий,1435000
184,К659ТТ_70,Volkswagen Golf GTI VII Рестайлинг,хэтчбек,робот,передний,245,2.0,бензин,серый,1375000
185,К746ВО_11,Skoda Yeti I,внедорожник,робот,передний,105,1.2,бензин,белый,6790000
186,Х314МХ_44,Tesla Model S 60 I,внедорожник,автомат,передний,123,1.6,бензин,белый,373800
187,Т570ЕТ_40,SsangYong Rexton II,внедорожник,автомат,полный,186,2.7,дизель,чёрный,845000
188,В455ТА_45,BMW M3 IV (E90),купе,робот,задний,420,4.0,бензин,чёрный,2999000
189,К604ВТ_79,Jeep Grand Cherokee IV (WK2),внедорожник,автомат,полный,286,3.6,бензин,серый,1440000
190,К579НН_73,Nissan Teana II Рестайлинг,седан,вариатор,полный,167,2.5,бензин,чёрный,870000
191,К786УЕ_62,Москвич 400 400-420,седан,механика,задний,23,1.1,бензин,синий,3000000
192,А190РО_48,Hyundai Creta II,внедорожник,механика,полный,121,1.6,бензин,серый,1060000
193,Е000НМ_98,Ford Focus II,седан,механика,передний,145,2.0,бензин,синий,1360000
194,О629ВК_58,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,пурпурный,299000
195,Е916НО_15,Mercedes-Benz CLK-Класс 230 I (W208),купе,автомат,задний,193,2.3,бензин,белый,974000
196,Х646ВТ_95,ЗАЗ 965,седан,механика,задний,27,0.9,бензин,белый,1274000
197,У847НН_09,Mercedes-Benz 190 (W201),седан,механика,задний,105,2.0,бензин,серый,300000
198,Н558АР_78,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,синий,70000
199,Н648АО_32,Subaru Impreza WRX II,универсал,механика,полный,225,2.0,бензин,синий,88000
200,К602ОР_15,Nissan Juke I,внедорожник,вариатор,передний,117,1.6,бензин,белый,1085000
201,Н729ОО_86,Audi Q5 II (FY),внедорожник,робот,полный,249,2.0,бензин,синий,1385000
202,У358ОУ_87,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,чёрный,520000
203,Р605АК_39,Hyundai Solaris I,седан,механика,передний,123,1.6,бензин,чёрный,847000
204,Р796АС_58,Nissan Murano I (Z50),внедорожник,вариатор,полный,234,3.5,бензин,белый,3109000
205,Р010АР_74,LADA (ВАЗ) 2121 (4x4) I Рестайлинг,внедорожник,механика,полный,83,1.7,бензин,белый,1430324
206,О459ЕА_32,LADA (ВАЗ) 2121 (4x4) Рысь I Рестайлинг,внедорожник,механика,полный,83,1.7,бензин,синий,1730324
207,У788МХ_88,BMW X6 M50i III (G06),внедорожник,автомат,полный,530,4.4,бензин,серый,579000
208,К442ТН_52,Rolls-Royce Wraith,купе,автомат,задний,632,6.6,бензин,серый,474000
209,М795ХР_67,Hyundai Creta II,внедорожник,механика,передний,123,1.6,бензин,пурпурный,345000
210,В471АС_02,Volvo XC90 I Рестайлинг,внедорожник,автомат,полный,238,3.2,бензин,чёрный,519000
211,В500УМ_29,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,серый,19000000
212,Х050ЕХ_16,Subaru Forester III,внедорожник,автомат,полный,173,2.5,бензин,белый,1479500
213,Х163ЕХ_76,Suzuki Grand Vitara III,внедорожник,механика,полный,140,2.0,бензин,чёрный,920000
214,Х909ЕК_28,Volkswagen Polo V Рестайлинг,седан,механика,передний,90,1.6,бензин,серый,1111250
215,Р567ТХ_97,Hyundai Creta II,внедорожник,механика,полный,121,1.6,бензин,чёрный,1411250
216,А030ЕН_46,Volkswagen Polo V,хэтчбек,робот,передний,85,1.4,бензин,синий,1060000
217,М711УК_42,Audi A4 I (B5),универсал,механика,передний,150,1.8,бензин,чёрный,649000
218,А546РЕ_39,LADA (ВАЗ) 2115,седан,механика,передний,81,1.6,бензин,чёрный,535000
219,Х687КО_56,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,белый,1135000
220,Т822ОК_34,Kia Optima IV,седан,автомат,передний,188,2.4,бензин,белый,1435000
221,К049ЕВ_92,Mercedes-Benz G-Класс AMG 65 AMG I (W463) Рестайлинг 2,внедорожник,автомат,полный,612,6.0,бензин,чёрный,910000
222,А438СВ_94,Volkswagen Jetta V,седан,автомат,передний,102,1.6,бензин,серый,345000
223,Х145СА_91,Peugeot 207 I,хэтчбек,автомат,передний,120,1.6,бензин,синий,150000
224,Х630ОЕ_69,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,чёрный,1059000
225,М569УК_86,SsangYong Rexton II,внедорожник,автомат,полный,186,2.7,дизель,чёрный,845000
226,Н872ВМ_10,BMW M3 IV (E90),купе,робот,задний,420,4.0,бензин,чёрный,2999000
227,Р986ХН_13,Jeep Grand Cherokee IV (WK2),внедорожник,автомат,полный,286,3.6,бензин,серый,1440000
228,У273ОА_57,Volkswagen Passat CC I Рестайлинг,седан,робот,передний,210,2.0,бензин,чёрный,1200000
229,Н355УН_73,Subaru Forester III,внедорожник,автомат,полный,173,2.5,бензин,белый,1060000
230,А444ТХ_38,Hyundai Creta II,внедорожник,механика,полный,121,1.6,бензин,синий,1060000
231,Р110КЕ_79,Kia Optima IV,седан,автомат,передний,188,2.4,бензин,белый,1360000
232,Х016ХМ_22,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,чёрный,1375000
233,Х466КС_79,Ford Focus II,седан,механика,передний,145,2.0,бензин,синий,974000
234,У813МК_65,Toyota Camry VII (XV50),седан,автомат,передний,181,2.5,бензин,чёрный,1274000
235,Т398ОВ_03,BMW 5 серии Gran Turismo 535d xDrive VI (F10/F11/F07),лифтбек,автомат,полный,300,3.0,дизель,чёрный,299000
236,С617ХА_13,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,белый,1350000
237,А871ХЕ_47,Mitsubishi Pajero Sport II Рестайлинг,внедорожник,автомат,полный,178,2.5,дизель,серый,1475000
238,У900ВМ_11,Volvo XC90 I Рестайлинг,внедорожник,автомат,полный,185,2.4,дизель,чёрный,1085000
239,В756ВЕ_24,Nissan Murano II (Z51) Рестайлинг,внедорожник,вариатор,полный,249,3.5,бензин,серый,1385000
240,О480НА_08,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,синий,1347000
241,Р364АН_66,Ford Kuga II,внедорожник,автомат,полный,150,1.6,бензин,серый,1195000
242,О522СЕ_97,Hyundai ix35 I,внедорожник,автомат,передний,150,2.0,бензин,чёрный,1179000
243,Т130УН_81,Nissan Teana II Рестайлинг,седан,вариатор,полный,167,2.5,бензин,чёрный,1430324
244,В433ВР_48,BMW X6 M50i III (G06),внедорожник,автомат,полный,530,4.4,бензин,серый,1730324
245,М199УК_90,MINI Countryman Cooper I,внедорожник,автомат,передний,122,1.6,бензин,чёрный,1190000
246,С354АН_49,Hyundai Grand Starex I,минивэн,автомат,задний,145,2.5,дизель,серый,870000
247,Н778ВС_40,Hyundai Creta II,внедорожник,механика,передний,123,1.6,бензин,синий,870000
248,У706ЕР_23,Mercedes-Benz C-Класс 180 III (W204) Рестайлинг,седан,автомат,задний,156,1.6,бензин,белый,1121000
249,М620ОХ_63,Hyundai Creta II,внедорожник,автомат,передний,123,1.6,бензин,серый,1269000
250,Р836СК_34,Skoda Yeti I Рестайлинг,внедорожник,робот,полный,152,1.8,бензин,белый,1479500
251,В451РА_70,LADA (ВАЗ) Vesta SW Cross I,универсал,механика,передний,122,1.8,бензин,серый,1147000
252,В436СХ_68,BMW 7 серии Long 740Ld xDrive VI (G11/G12),седан,автомат,полный,320,3.0,дизель,чёрный,1111250
253,Е487КВ_24,Hyundai Creta II,внедорожник,механика,полный,121,1.6,бензин,белый,1411250
254,В856ОУ_00,Volkswagen Passat CC I Рестайлинг,седан,робот,передний,152,1.8,бензин,белый,1019000
